2013-05-11 00:18:59,763|INFO   |      dynamo.py|228|A: store K538=I am pig538
2013-05-11 00:18:59,763|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutRsp(K538=I am pig538)
2013-05-11 00:18:59,769|INFO   |      dynamo.py|168|A, 163: put K539=I am pig539
2013-05-11 00:18:59,769|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutReq(K539=I am pig539)
2013-05-11 00:18:59,772|INFO   |      dynamo.py|228|A: store K539=I am pig539
2013-05-11 00:18:59,772|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutRsp(K539=I am pig539)
2013-05-11 00:18:59,774|INFO   |      dynamo.py|248|A: written 1 copies of K539=I am pig539 so done
2013-05-11 00:18:59,774|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29008: ClientPutRsp(K539=I am pig539)
2013-05-11 00:18:59,778|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutReq(K539=I am pig539)
2013-05-11 00:18:59,837|INFO   |      dynamo.py|228|A: store K542=I am pig542
2013-05-11 00:18:59,837|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29004: PutRsp(K542=I am pig542)
2013-05-11 00:18:59,855|INFO   |      dynamo.py|228|A: store K543=I am pig543
2013-05-11 00:18:59,855|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29001: PutRsp(K543=I am pig543)
2013-05-11 00:18:59,883|INFO   |      dynamo.py|228|A: store K545=I am pig545
2013-05-11 00:18:59,883|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29001: PutRsp(K545=I am pig545)
2013-05-11 00:18:59,898|INFO   |      dynamo.py|168|A, 164: put K546=I am pig546
2013-05-11 00:18:59,898|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutReq(K546=I am pig546)
2013-05-11 00:18:59,900|INFO   |      dynamo.py|228|A: store K546=I am pig546
2013-05-11 00:18:59,900|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutRsp(K546=I am pig546)
2013-05-11 00:18:59,902|INFO   |      dynamo.py|248|A: written 1 copies of K546=I am pig546 so done
2013-05-11 00:18:59,902|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29008: ClientPutRsp(K546=I am pig546)
2013-05-11 00:18:59,906|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29004: PutReq(K546=I am pig546)
2013-05-11 00:18:59,914|INFO   |      dynamo.py|160|put(K547=I am pig547) maps to ['127.0.0.1:29001', '127.0.0.1:29004']
2013-05-11 00:18:59,914|INFO   |   framework.py| 97|Enqueue(fwd) 127.0.0.1:29002->127.0.0.1:29001: ClientPut(K547=I am pig547)
2013-05-11 00:18:59,949|INFO   |      dynamo.py|228|A: store K548=I am pig548
